review_type,sort_type,writing_date,star_rating,comment,upvote,downvote,site
viewer,like,2019.06.01. 13:02,별점(10점 만점 중)10,너무 잔인해요... 19세로 올려야 할것같아요....,48,2,naver
viewer,like,2019.06.17. 17:53,별점(10점 만점 중)3,기대이하였고 마케팅에 속아서 봤다. 감독의 의도가 곳곳에 보였고 보는 내내 불편했다,55,10,naver
viewer,like,2020.06.02. 02:37,별점(10점 만점 중)8,돋보기로 현실을 들여다보는 데 점점 타들어가다 결국엔 불까지 난다,57,12,naver
viewer,like,2019.06.05. 23:48,별점(10점 만점 중)2,"의도하는바가 대체뭘까? 돈, 시간이 아까웠다",70,25,naver
viewer,like,2019.05.31. 14:53,별점(10점 만점 중)7,가족이랑은 보지마세요,46,2,naver
viewer,like,2020.02.19. 01:21,별점(10점 만점 중)9,없는 사람들의 처절함. 가진 사람들의 악의 없음.,49,5,naver
viewer,like,2020.03.05. 02:54,별점(10점 만점 중)9,왠지 모를 불쾌함이,47,4,naver
viewer,like,2019.06.08. 17:53,별점(10점 만점 중)1,불쾌감만을 주는 영화다,73,30,naver
viewer,like,2019.10.23. 01:00,별점(10점 만점 중)9,가난혐오를 담은 듯..,45,3,naver
viewer,like,2019.06.10. 16:57,별점(10점 만점 중)10,ㅋㅋㅋㅋ박서준이 사람잘못봤네,47,5,naver
viewer,like,2019.06.01. 16:32,별점(10점 만점 중)10,롯데시네마신림 2019.6.1. 12시35분. I열 9번커플중 여성분 영화 상영 내내 중계해주신 덕분에 놓친 대사도 많고 집중해서 관람하기 힘들었네요. 도대체 무슨 정신인가요.집에서 혼자 드라마 보십니까?잠깐을 안닥치시던데 진짜 돌아버릴뻔 했네요,52,10,naver
viewer,like,2019.06.06. 12:37,별점(10점 만점 중)2,"블랙코미디의 한계다. 나는 양극화가 벌어지는 지점에서 충분히 고민하고 또 고민했다는 흔적이 없고, 이것 봐라? 너희도 그렇지? 내 말 뭔지 알지? 다 그렇잖아? 하고 끝나는 영화.",55,13,naver
viewer,like,2019.06.04. 07:05,별점(10점 만점 중)1,"영화보다 나가는 사람들 .. 나 역시 끝까지 왜 봤나 싶은 영화.평점 , 리뷰만 보고 선택한 영화는 시간낭비 , 에너지 낭비라는 걸 새삼 깨닫게 되는 영화.현실이 힘들 때 영화에서 행복을 찾는 나 같은사람에게는 아픈 곳 더 아프게 하는 영화.",90,53,naver
viewer,like,2019.06.09. 12:31,별점(10점 만점 중)1,별로였습니다 정말 재미도 없고 뜻도 없고,96,59,naver
viewer,like,2019.06.02. 00:39,별점(10점 만점 중)2,관람객. 평에 속았네요. 황금종려상은 어떻게 받은건지 의문임. 배우들 연기력도 막 대단하지도 않은것같고 거품 이빠이꼇네요,89,53,naver
viewer,like,2019.06.02. 16:31,별점(10점 만점 중)1,이게 황금종려상이라고..? 만이천원도 아깝던데...,99,63,naver
viewer,like,2019.06.04. 16:15,별점(10점 만점 중)4,영화 보면서 불쾌하긴 처음이었네요  이거 왜 15세 인지 모르겠네여 진짜 청불 달아도 모자를 듯,50,15,naver
viewer,like,2019.06.03. 10:49,별점(10점 만점 중)2,등급조정이 매우 시급합니다. 잔인한거 못보는 사람으로서 갔다가 기분만 찝찝하게 돌아왓네요.,40,6,naver
viewer,like,2019.06.08. 09:19,별점(10점 만점 중)1,진짜 아닌등...ㅜㅜ,64,30,naver
viewer,like,2020.03.09. 16:50,별점(10점 만점 중)10,반지하 냄새. 벗어난지 오래되었지만 아직도 알것같다,41,8,naver
